Frequency,Noise Gain,(Cin + Cf) / Cf,Op Amp Gain,(Cin || Cf) (Rin || Rf) </br> Zero
3319173.81487514,2.39662232059912,5.96,83.5669257057807,2.51890442952849
3475601.65749877,2.48073598518842,5.96,79.7951137240264,2.61926399209442
3639401.71721998,2.56813427931021,5.96,76.1941535153111,2.72506120304489
3810921.43592651,2.65878401119739,5.96,72.7562552389579,2.83653370343681
3990524.62993778,2.75263270438944,5.96,69.473985530704,2.95392982912977
4178592.2617081,2.84960682482442,5.96,66.3402517130749,3.07750924837815
4375523.24789913,2.94961002242876,5.96,63.3482865647592,3.20754361907696
4581735.30553557,3.05252143113275,5.96,60.4916336496099,3.34431726624745
4797665.838039,3.15819407850585,5.96,57.7641332044325,3.4881278806358
5023772.86301919,3.26645346284654,5.96,55.1599085827138,3.63928723955507
5260535.98379079,3.37709636104987,5.96,52.6733532491594,3.79812195132643
5508457.40667636,3.48988993431728,5.96,50.2991183175662,3.96497422487336
5768063.00625324,3.60457120012506,5.96,48.0321006223049,4.14020266619426
6039903.44080407,3.72084693719412,5.96,45.8674313116464,4.32418310358746
6324555.32033679,3.8383940849249,5.96,43.800464949395,4.5173094436326
6622622.42965186,3.9568606894383,5.96,41.8267691098262,4.7199945600458
6934737.00905067,4.07586743476598,5.96,39.9421144497812,4.93267121762813
7261561.09540207,4.1950097799293,5.96,38.1424652409257,5.15579303361875
7603787.92641127,4.31386070105993,5.96,36.4239703446243,5.38983547885076
7962143.41106999,4.43197401317265,5.96,34.7829546115765,5.63529692118987
8337387.66940676,4.54888821992984,5.96,33.2159106882806,5.89269971381757
8730316.64480337,4.66413081332264,5.96,31.7194912124928,6.1625913310015
9141763.79229756,4.7772229204775,5.96,30.29050138011,6.44554555408011
9572601.84645282,4.88768417372899,5.96,28.9258918662849,6.74216371047544
10023744.6725455,4.99503766455433,5.96,27.6227520840577,7.05307596864028
10496149.2049955,5.09881483353309,5.96,26.3783037643347,7.37894269194326
10990817.4771526,5.19856014829376,5.96,25.1898948416407,7.72045585459978
11508798.7467432,5.29383542992286,5.96,24.0549936306976,8.07834052286759
12051191.7214872,5.38422370530788,5.96,22.9711832795268,8.45335640484475
12619146.8896039,5.46933248739442,5.96,21.9361564854232,8.84629947233455
13213868.960152,5.54879641574028,5.96,20.947710460791,9.25800365837747
13836619.4183788,5.62227922392239,5.96,20.0037421364712,9.68934263419421
14488719.2014999,5.68947503588336,5.96,19.102243590802,10.1412316694378
15171551.5005838,5.75010902772248,5.96,18.2412976932582,10.6146295798152
15886564.6944857,5.80393752244485,5.96,17.4190739520837,11.1105407663122
16635275.4220535,5.85074761084637,5.96,16.6338245558868,11.6300173504375
17419271.7991217,5.89035641059588,5.96,15.8838805996888,12.1741614100973
18240216.7871183,5.92261008680623,5.96,15.1676484864172,12.7441273209122
19099851.7204289,5.94738276065678,5.96,14.4836064953075,13.3411242080086
20000000.0000001,5.96457542814971,5.96,13.8303015091269,13.9664185135389
20942570.9610181,5.97411499948611,5.96,13.206345892554,14.6213366854272
21929563.9228639,5.97595355179569,5.96,12.6104145144537,15.3072679930865
22963072.4299378,5.97006786523177,5.96,12.0412419071625,16.0256674761183
24045288.6923484,5.95645928607636,5.96,11.4976195562553,16.7780590322833
25178508.2358835,5.93515393189555,5.96,10.9783933146063,17.5660386513215
26365134.7711283,5.90620322438628,5.96,10.4824609348713,18.3912778015084
27607685.2920579,5.86968470682014,5.96,10.0087697148233,19.2555269761528
28908795.4149188,5.82570307637307,5.96,9.55631425025383,20.1606194075782
30271224.9687244,5.77439133855375,5.96,9.12413429042694,21.1084749564842
31697863.8492225,5.7159119727633,5.96,8.71131269132294,22.1011041849522
33191738.1487515,5.65045798595499,5.96,8.316973462154,23.1406126217486
34756016.5749878,5.57825372641677,5.96,7.9402799008615,24.2292052289843
36394017.1722,5.49955533255434,5.96,7.58043281452345,25.3691910796156
38109214.3592652,5.4146507024619,5.96,7.23666882080762,26.5629882557159
39905246.2993779,5.32385888877081,5.96,6.90825872680353,27.8131289779174
41785922.6170811,5.22752884892514,5.96,6.59450598175514,29.1222649769091
43755232.4789914,5.12603751223466,5.96,6.2947452003965,30.4931731183906
45817353.0553558,5.01978715987114,5.96,6.00834075376507,31.9287612934183
47976658.3803902,4.9092021500935,5.96,5.73468542453382,33.4320745866434
50237728.630192,4.79472505590835,5.96,5.4731991240624,35.0063017355282
52605359.8379081,4.67681231363235,5.96,5.22332766852176,36.6547818942465
55084574.0667638,4.55592950623909,5.96,4.98454161159517,38.3810117166161
57680630.0625326,4.43254642325565,5.96,4.75633513140283,40.1886527730927
60399034.4080408,4.30713204829087,5.96,4.53822496943671,42.0815393175575
63245553.2033681,4.18014962573604,5.96,4.3297494194283,44.0636864203761
66226224.2965188,4.05205195022103,5.96,4.13046736420422,46.1392984849814
69347370.0905069,3.92327700712782,5.96,3.93995735871324,48.3127781660474
72615610.9540209,3.79424407144379,5.96,3.75781675753397,50.5887357081711
76037879.2641129,3.66535034736413,5.96,3.58366088529448,52.9719987248721
79621434.1107002,3.53696820430483,5.96,3.41712224855319,55.4676224386554
83373876.6940679,3.40944303824011,5.96,3.25784978780522,58.0809004038555
87303166.448034,3.28309176215788,5.96,3.10550816838704,60.817375735011
91417637.9229759,3.15820190719765,5.96,2.95977710915625,63.6828528645837
95726018.4645286,3.03503129755712,5.96,2.82035074791903,66.6834098549649
100237446.725455,2.91380824797488,5.96,2.68693704266481,69.8254112908841
104961492.049956,2.7947322225979,5.96,2.55925720774268,73.1155217795668
109908174.771526,2.67797488809886,5.96,2.43704518417471,76.5607200872774
115087987.467433,2.56368149157417,5.96,2.32004714334345,80.1683139422335
120511917.214873,2.45197249443825,5.96,2.20802102331053,83.9459555352908
126191468.89604,2.34294539658054,5.96,2.10073609701517,87.9016577512774
132138689.601521,2.2366766898102,5.96,1.99797257155962,92.0438111654071
138366194.183789,2.13322388546829,5.96,1.89952121770704,96.3812018408228
144887192.014999,2.03262756750473,5.96,1.80518302858865,100.923029965023
151715515.005838,1.93491342886027,5.96,1.71476890643388,105.678929364698
158865646.944858,1.84009425532936,5.96,1.62809937589307,110.658987940377
166352754.220536,1.7481718269782,5.96,1.54500432220947,115.873769064219
174192717.991218,1.65913871251729,5.96,1.46532275211194,121.334333986346
182402167.871184,1.57297993672735,5.96,1.38890257483744,127.052265297248
190998517.204289,1.48967450512865,5.96,1.31560040015519,133.039691496002
200000000.000002,1.40919677363643,5.96,1.2452813496567,139.30931271646
209425709.610182,1.3315176540699,5.96,1.17781887690972,145.874427665928
219295639.228639,1.25660564921105,5.96,1.11309459137035,152.748961833517
229630724.299379,1.18442771378203,5.96,1.050998080234,159.947497027968
240452886.923485,1.11494994035845,5.96,0.991426721725,167.485302307631
251785082.358836,1.0481380719697,5.96,0.93428548272691,175.378366368182
263651347.711284,0.983957846028861,5.96,0.879486693205849,183.643431456793
276076852.92058,0.922375177311447,5.96,0.826949789650102,192.298028884685
289087954.149189,0.863356190934188,5.96,0.776601019822053,201.360516213388
302712249.687245,0.806867119588517,5.96,0.728373101574402,210.850116193595
316978638.492226,0.752874082519418,5.96,0.682204829398394,220.786957539189
331917381.487516,0.701342766728244,5.96,0.638040623808103,231.192117622949
347560165.749879,0.652238033411426,5.96,0.595830020656892,242.087667184482
363940171.722001,0.605523474515816,5.96,0.555527100027033,253.496717145223
381092143.592654,0.561160945307667,5.96,0.517089857380192,265.443467629796
399052462.993781,0.519110098874398,5.96,0.480479523097316,277.953259297723
417859226.170813,0.479327947432692,5.96,0.445659840203951,291.052627094365
437552324.789916,0.441768473210413,5.96,0.41259631374688,304.769356535093
458173530.55356,0.406382308596129,5.96,0.381255448690789,319.132542642096
479766583.803904,0.37311650137958,5.96,0.351603996044054,334.172651658824
502377286.301922,0.34191437647199,5.96,0.323608228907805,349.92158567297
526053598.379083,0.312715500766652,5.96,0.29723327101314,366.412750285084
550845740.66764,0.285455753057526,5.96,0.272442499877853,383.681125466322
576806300.625329,0.260067496438691,5.96,0.249197044884679,401.763339755661
603990344.080411,0.236479846582188,5.96,0.227455397386687,420.697747953938
632455532.033684,0.214619025902047,5.96,0.207173145539238,440.524512479527
662262242.965191,0.194408790961663,5.96,0.188302841219488,461.285688558211
693473700.905072,0.175770918612594,5.96,0.170794000498376,483.025313427954
726156109.540212,0.158625735254829,5.96,0.154593233109924,505.789499747791
760378792.641133,0.142892673230197,5.96,0.139644490665444,529.626533408956
796214341.107005,0.12849083862269,5.96,0.125889418398143,554.586975955733
833738766.940682,0.115339575547649,5.96,0.113267791331094,580.723771833271
873031664.480344,0.103359013265521,5.96,0.101718013163939,608.092360689849
914176379.229763,0.0924705840555307,5.96,0.091177654970117,636.750794971804
957260184.64529,0.0825975016342586,5.96,0.0815840109595719,666.759863060552
1002374467.25456,0.0736651919133068,5.96,0.0728746499527455,698.183218212896
1049614920.49956,0.0656016699741182,5.96,0.0649879436053653,731.087513578119
1099081747.71526,0.0583378592176054,5.96,0.0578635555419514,765.542543578245
1150879874.67433,0.051807850649017,5.96,0.0514428791015987,801.621391951373
1205119172.14873,0.0459491021199859,5.96,0.0456694150861551,839.400586772078
1261914688.9604,0.0407025790154324,5.96,0.0404890844775392,878.96026277772
1321386896.01521,0.0360128393005279,5.96,0.0358504743581676,920.384331344965
1383661941.83789,0.0318280670036211,5.96,0.0317050180857404,963.760658477067
1448871920.15,0.0281000590909598,5.96,0.0280071130593937,1009.18125117944
1517155150.05839,0.0247841712887795,5.96,0.0247141811401135,1056.74245261885
1588656469.44859,0.0218392287417096,5.96,0.0217866779697056,1106.54514648019
1663527542.20537,0.019227407488307,5.96,0.0191880581173658,1158.6949709543
1741927179.91219,0.0169140926178998,5.96,0.0168847032398813,1213.30254281075
1824021678.71185,0.0148677186858613,5.96,0.0148458203503581,1270.48369203081
1909985172.0429,0.0130595975469492,5.96,0.0130433169329478,1330.35970749838
2000000000.00003,0.0114637382577255,5.96,0.0114516590950715,1393.05759426998
